vza,raa,CI,lidf,cab,lma,RUB,Rdsc,CB6F,gm,BallBerrySlope,BallBerry0
0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125
48.984375,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125
0.703125,158.203125,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125
0.703125,59.765625,0.6109375,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125
0.703125,59.765625,0.7171875,45.703125,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125
0.703125,59.765625,0.7171875,11.484375,49.6484375,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125
0.703125,59.765625,0.7171875,11.484375,73.1640625,49.1015625,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125
0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,58.203125,0.002536328125,60.546875,4.0838671875,11.07421875,0.73828125
0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.005630078125000001,60.546875,4.0838671875,11.07421875,0.73828125
0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,135.546875,4.0838671875,11.07421875,0.73828125
0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,0.30238281250000004,11.07421875,0.73828125
0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,13.30078125,0.73828125
0.703125,59.765625,0.7171875,11.484375,73.1640625,84.3359375,136.328125,0.002536328125,60.546875,4.0838671875,11.07421875,0.93359375
0.703125,158.203125,0.6109375,45.703125,49.6484375,49.1015625,58.203125,0.005630078125000001,135.546875,0.30238281250000004,13.30078125,0.93359375
48.984375,59.765625,0.6109375,45.703125,49.6484375,49.1015625,58.203125,0.005630078125000001,135.546875,0.30238281250000004,13.30078125,0.93359375
48.984375,158.203125,0.7171875,45.703125,49.6484375,49.1015625,58.203125,0.005630078125000001,135.546875,0.30238281250000004,13.30078125,0.93359375
48.984375,158.203125,0.6109375,11.484375,49.6484375,49.1015625,58.203125,0.005630078125000001,135.546875,0.30238281250000004,13.30078125,0.93359375
48.984375,158.203125,0.6109375,45.703125,73.1640625,49.1015625,58.203125,0.005630078125000001,135.546875,0.30238281250000004,13.30078125,0.93359375
